0	0	0	0	18	70	0	0	0	32	43	109	183
0	3	20	40	108	130	108	101	56	141	81	116	195
110	38	0	116	93	93	34	112	165	188	56	118	258
122	68	0	70	95	77	16	91	164	183	135	149	222
71	74	67	44	63	119	99	71	187	201	132	109	202
58	91	28	44	108	99	139	1	183	156	115	125	220
109	74	74	72	138	128	132	138	223	198	157	154	197
43	91	81	82	135	100	100	156	170	179	76	156	215
105	125	131	93	105	108	60	107	171	206	176	130	212
134	146	98	101	130	101	110	111	148	204	224	139	213
146	201	55	71	155	155	118	161	190	165	192	116	241
165	201	110	75	144	159	84	175	171	204	207	145	228
135	183	118	140	185	143	128	172	162	155	176	84	229
136	206	96	123	188	143	161	199	189	205	190	144	220
125	217	130	137	182	171	168	165	198	234	208	176	228
140	217	111	122	180	110	169	204	203	247	169	151	231
113	206	183	123	205	108	137	174	166	233	203	172	244
155	217	187	84	166	132	140	139	128	204	189	171	226
165	202	168	168	139	151	95	197	217	223	210	175	229
137	230	153	189	190	101	123	153	158	233	217	198	242
143	204	203	203	157	144	163	161	193	222	212	138	267
135	232	121	202	160	161	122	145	86	218	198	175	233
142	242	172	168	181	185	158	195	167	222	216	164	256
156	202	167	190	178	132	171	123	159	208	217	155	236
169	230	156	188	196	123	171	192	174	208	236	157	236
153	204	173	197	185	170	202	168	121	226	226	176	243
151	232	187	208	167	174	154	159	180	212	234	141	236
119	209	205	181	182	173	175	143	166	218	230	187	252
158	213	186	176	180	160	180	148	157	219	225	181	248
158	248	204	164	168	168	171	188	179	235	251	165	240
158	229	197	202	208	146	177	115	174	220	214	183	241
148	235	217	164	196	171	177	101	137	190	234	147	222
176	243	216	167	185	136	194	88	146	215	226	163	240
182	245	212	211	198	151	216	180	172	215	234	197	245
206	233	212	188	195	163	188	168	192	212	235	192	244
184	228	210	201	167	175	192	139	201	203	233	206	230
183	257	208	183	175	169	172	154	178	213	234	148	232
184	235	235	201	175	167	179	195	203	223	240	179	239
171	232	215	185	193	167	202	180	200	204	236	182	243
175	233	209	122	180	189	185	151	142	214	229	182	250
168	175	181	202	191	203	198	179	191	212	226	209	257
177	217	201	215	197	195	187	172	182	188	222	197	248
185	246	190	202	192	161	191	147	185	217	231	186	249
190	240	214	158	214	161	31	177	206	203	213	215	246
180	256	223	199	202	194	141	181	190	210	228	179	247
181	240	209	212	199	183	214	183	193	202	215	198	254
184	256	210	158	207	185	193	156	191	210	230	201	250
183	227	206	199	189	187	153	163	198	206	229	189	248
201	230	199	212	198	180	210	176	177	236	223	209	242
184	247	207	184	185	222.4644762	225.740119	136	197	214	232	209	235
